TÃ¼rkiye;31,391,421;15,996,964;15,394,457;;10,805,817;5,783,813;5,022,004;;20,585,604;10,213,151;10,372,453
Adana;902,712;466,032;436,680;;422,298;222,644;199,654;;480,414;243,388;237,026
AdÄ±yaman;267,288;136,615;130,673;;51,463;26,568;24,895;;215,825;110,047;105,778
Afyonkarahisar;502,248;250,478;251,770;;125,102;64,463;60,639;;377,146;186,015;191,131
AÄŸrÄ±;246,961;130,396;116,565;;53,420;31,937;21,483;;193,541;98,459;95,082
Amasya;285,729;148,016;137,713;;83,016;45,985;37,031;;202,713;102,031;100,682
Ankara;1,644,302;872,680;771,622;;1,069,761;588,704;481,057;;574,541;283,976;290,565
Antalya;486,910;244,939;241,971;;129,657;67,874;61,783;;357,253;177,065;180,188
Artvin;210,065;102,630;107,435;;30,068;17,467;12,601;;179,997;85,163;94,834
AydÄ±n;524,918;262,021;262,897;;165,953;84,425;81,528;;358,965;177,596;181,369
BalÄ±kesir;708,342;365,959;342,383;;230,353;124,044;106,309;;477,989;241,915;236,074
Bilecik;139,041;68,900;70,141;;36,356;19,026;17,330;;102,685;49,874;52,811
BingÃ¶l;150,521;77,758;72,763;;20,401;11,849;8,552;;130,120;65,909;64,211
Bitlis;154,069;80,996;73,073;;43,813;24,010;19,803;;110,256;56,986;53,270
Bolu;383,939;189,663;194,276;;70,459;37,144;33,315;;313,480;152,519;160,961
Burdur;194,950;98,137;96,813;;54,135;29,331;24,804;;140,815;68,806;72,009
Bursa;755,504;379,055;376,449;;335,048;169,884;165,164;;420,456;209,171;211,285
Ã‡anakkale;350,317;182,806;167,511;;81,753;46,446;35,307;;268,564;136,360;132,204
Ã‡ankÄ±rÄ±;250,706;120,131;130,575;;43,731;22,777;20,954;;206,975;97,354;109,621
Ã‡orum;485,567;240,576;244,991;;97,032;49,822;47,210;;388,535;190,754;197,781
Denizli;463,369;230,468;232,901;;117,739;62,881;54,858;;345,630;167,587;178,043
DiyarbakÄ±r;475,916;249,874;226,042;;162,467;89,951;72,516;;313,449;159,923;153,526
Edirne;303,234;157,377;145,857;;102,171;56,193;45,978;;201,063;101,184;99,879
ElazÄ±ÄŸ;322,727;165,636;157,091;;106,180;57,948;48,232;;216,547;107,688;108,859
Erzincan;258,586;129,233;129,353;;57,397;33,845;23,552;;201,189;95,388;105,801
Erzurum;628,001;324,977;303,024;;152,183;86,314;65,869;;475,818;238,663;237,155
EskiÅŸehir;415,101;210,949;204,152;;200,332;104,433;95,899;;214,769;106,516;108,253
Gaziantep;511,026;262,815;248,211;;244,215;128,506;115,709;;266,811;134,309;132,502
Giresun;428,015;207,320;220,695;;75,069;38,499;36,570;;352,946;168,821;184,125
GÃ¼mÃ¼ÅŸhane;262,731;123,907;138,824;;31,957;17,425;14,532;;230,774;106,482;124,292
Hakkari;83,937;45,680;38,257;;14,132;8,761;5,371;;69,805;36,919;32,886
Hatay;506,154;266,594;239,560;;203,610;112,093;91,517;;302,544;154,501;148,043
Isparta;266,240;136,333;129,907;;96,551;53,050;43,501;;169,689;83,283;86,406
Ä°Ã§el;511,273;262,008;249,265;;189,382;99,389;89,993;;321,891;162,619;159,272
Ä°stanbul;2,293,823;1,243,900;1,049,923;;1,792,071;965,886;826,185;;501,752;278,014;223,738
Ä°zmir;1,234,667;641,118;593,549;;621,553;322,106;299,447;;613,114;319,012;294,102
Kars;606,313;312,952;293,361;;117,363;68,988;48,375;;488,950;243,964;244,986
Kastamonu;441,638;209,389;232,249;;67,163;34,610;32,553;;374,475;174,779;199,696
Kayseri;536,206;266,972;269,234;;191,221;99,592;91,629;;344,985;167,380;177,605
KÄ±rklareli;258,386;137,823;120,563;;85,856;51,679;34,177;;172,530;86,144;86,386
