TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;;;
;;;;;;;;;;;
1975 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
İllere göre şehir ve köy nüfusları ;;;;;;;;;;;
İller;Toplam;;;;Şehir;;;;Köy ;;
;;;;;;;;;;;
;;;;;;;;;;;
;Toplam;Erkek;Kadın;;Toplam;Erkek;Kadın;;Toplam;Erkek;Kadın
;;;;;;;;;;;
;;;;;;;;;;;
Türkiye;40,347,719;20,744,730;19,602,989;;16,869,068;9,004,842;7,864,226;;23,478,651;11,739,888;11,738,763
Adana;1,240,475;639,034;601,441;;706,186;370,247;335,939;;534,289;268,787;265,502
Adıyaman;346,892;178,152;168,740;;100,722;53,511;47,211;;246,170;124,641;121,529
Afyonkarahisar;579,171;291,388;287,783;;169,494;88,783;80,711;;409,677;202,605;207,072
Ağrı;330,201;176,676;153,525;;92,386;55,427;36,959;;237,815;121,249;116,566
Amasya;322,806;165,473;157,333;;115,480;61,432;54,048;;207,326;104,041;103,285
Ankara;2,585,293;1,359,373;1,225,920;;1,997,980;1,071,452;926,528;;587,313;287,921;299,392
Antalya;669,357;342,365;326,992;;223,089;118,191;104,898;;446,268;224,174;222,094
Artvin;228,026;113,829;114,197;;42,496;24,122;18,374;;185,530;89,707;95,823
Aydın;609,869;309,516;300,353;;214,505;111,799;102,706;;395,364;197,717;197,647
Balıkesir;789,255;408,133;381,122;;294,827;158,719;136,108;;494,428;249,414;245,014
Bilecik;137,120;68,686;68,434;;47,219;25,086;22,133;;89,901;43,600;46,301
Bingöl;210,804;110,954;99,850;;45,961;26,735;19,226;;164,843;84,219;80,624
Bitlis;218,305;115,955;102,350;;76,702;43,159;33,543;;141,603;72,796;68,807
Bolu;428,704;215,800;212,904;;96,780;52,879;43,901;;331,924;162,921;169,003
Burdur;222,896;112,161;110,735;;71,071;37,686;33,385;;151,825;74,475;77,350
Bursa;961,639;490,506;471,133;;507,106;262,091;245,015;;454,533;228,415;226,118
Çanakkale;369,385;193,590;175,795;;107,825;60,954;46,871;;261,560;132,636;128,924
Çankırı;265,468;132,240;133,228;;62,444;33,992;28,452;;203,024;98,248;104,776
Çorum;547,580;274,050;273,530;;145,969;76,504;69,465;;401,611;197,546;204,065
Denizli;560,916;281,186;279,730;;171,586;90,562;81,024;;389,330;190,624;198,706
Diyarbakır;651,233;343,797;307,436;;281,960;155,823;126,137;;369,273;187,974;181,299
Edirne;340,732;182,944;157,788;;135,792;76,883;58,909;;204,940;106,061;98,879
Elazığ;417,924;216,639;201,285;;175,675;94,015;81,660;;242,249;122,624;119,625
Erzincan;283,683;144,959;138,724;;85,184;48,388;36,796;;198,499;96,571;101,928
Erzurum;746,666;389,557;357,109;;241,467;134,620;106,847;;505,199;254,937;250,262
Eskişehir;495,097;254,173;240,924;;292,110;153,784;138,326;;202,987;100,389;102,598
Gaziantep;715,939;369,748;346,191;;427,017;225,234;201,783;;288,922;144,514;144,408
Giresun;463,587;228,967;234,620;;108,838;58,066;50,772;;354,749;170,901;183,848
