TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;
;;;;;;;;;
1990 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
İllere göre şehir ve köy nüfusları;;;;;;;;;
İller;;;;;;;;;
;Toplam;;;Şehir;;;Köy;;
;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın
Türkiye;56,473,035;28,607,047;27,865,988;33,326,351;17,247,553;16,078,798;23,146,684;11,359,494;11,787,190
Adana;1,934,907;973,878;961,029;1,350,339;684,221;666,118;584,568;289,657;294,911
Adıyaman;513,131;256,699;256,432;219,304;113,142;106,162;293,827;143,557;150,270
Afyon;739,223;368,950;370,273;306,209;156,784;149,425;433,014;212,166;220,848
Ağrı;437,093;221,327;215,766;158,758;86,687;72,071;278,335;134,640;143,695
Amasya;357,191;179,895;177,296;162,544;84,486;78,058;194,647;95,409;99,238
Ankara;3,236,626;1,658,276;1,578,350;2,836,719;1,460,015;1,376,704;399,907;198,261;201,646
Antalya;1,132,211;588,656;543,555;602,194;319,719;282,475;530,017;268,937;261,080
Artvin;212,833;104,093;108,740;66,097;35,324;30,773;146,736;68,769;77,967
Aydın;824,816;416,304;408,512;384,711;197,623;187,088;440,105;218,681;221,424
Balıkesir;973,314;496,661;476,653;468,758;242,346;226,412;504,556;254,315;250,241
Bilecik;175,526;90,978;84,548;90,373;49,092;41,281;85,153;41,886;43,267
Bingöl;250,966;124,710;126,256;86,648;45,999;40,649;164,318;78,711;85,607
Bitlis;330,115;170,982;159,133;142,947;78,164;64,783;187,168;92,818;94,350
Bolu;536,869;268,870;267,999;203,122;107,499;95,623;333,747;161,371;172,376
Burdur;254,899;129,742;125,157;129,112;69,094;60,018;125,787;60,648;65,139
Bursa;1,603,137;810,923;792,214;1,157,805;588,468;569,337;445,332;222,455;222,877
Çanakkale;432,263;225,099;207,164;168,529;91,612;76,917;263,734;133,487;130,247
Çankırı;279,129;139,025;140,104;113,855;60,885;52,970;165,274;78,140;87,134
Çorum;609,863;294,082;315,781;253,804;127,863;125,941;356,059;166,219;189,840
Denizli;750,882;379,129;371,753;337,793;175,039;162,754;413,089;204,090;208,999
Diyarbakır;1,094,996;559,446;535,550;600,640;314,180;286,460;494,356;245,266;249,090
Edirne;404,599;213,966;190,633;210,421;115,537;94,884;194,178;98,429;95,749
Elazığ;498,225;247,321;250,904;272,790;139,006;133,784;225,435;108,315;117,120
Erzincan;299,251;156,387;142,864;144,144;81,121;63,023;155,107;75,266;79,841
Erzurum;848,201;427,701;420,500;400,348;213,248;187,100;447,853;214,453;233,400
Eskişehir;641,057;321,928;319,129;477,436;240,681;236,755;163,621;81,247;82,374
Gaziantep;1,140,594;577,881;562,713;821,127;422,539;398,588;319,467;155,342;164,125
Giresun;499,087;246,597;252,490;219,114;115,381;103,733;279,973;131,216;148,757
Gümüşhane;169,375;81,621;87,754;58,996;31,921;27,075;110,379;49,700;60,679
Hakkari;172,479;93,913;78,566;71,099;42,819;28,280;101,380;51,094;50,286
Hatay;1,109,754;556,548;553,206;531,707;268,762;262,945;578,047;287,786;290,261
Isparta;434,771;224,403;210,368;229,574;125,176;104,398;205,197;99,227;105,970
İçel;1,266,995;645,244;621,751;787,284;402,880;384,404;479,711;242,364;237,347
İstanbul;7,309,190;3,798,761;3,510,429;6,753,929;3,494,553;3,259,376;555,261;304,208;251,053
İzmir;2,694,770;1,379,778;1,314,992;2,134,816;1,096,597;1,038,219;559,954;283,181;276,773
Kars;662,155;334,065;328,090;209,463;116,126;93,337;452,692;217,939;234,753
Kastamonu;423,611;202,583;221,028;148,710;76,447;72,263;274,901;126,136;148,765
Kayseri;943,484;471,874;471,610;604,072;308,228;295,844;339,412;163,646;175,766
Kırklareli;309,512;166,073;143,439;149,532;83,619;65,913;159,980;82,454;77,526
Kırşehir;256,862;124,639;132,223;126,406;63,396;63,010;130,456;61,243;69,213
Kocaeli;936,163;486,436;449,727;582,559;303,690;278,869;353,604;182,746;170,858
Konya;1,750,303;873,886;876,417;963,128;490,789;472,339;787,175;383,097;404,078
Kütahya;578,020;289,866;288,154;241,999;124,704;117,295;336,021;165,162;170,859
Malatya;702,055;354,141;347,914;379,188;194,578;184,610;322,867;159,563;163,304
Manisa;1,154,418;583,838;570,580;590,374;306,274;284,100;564,044;277,564;286,480
Kahramanmaraş;892,952;450,243;442,709;407,215;210,156;197,059;485,737;240,087;245,650
Mardin;557,727;282,459;275,268;249,032;129,819;119,213;308,695;152,640;156,055
Muğla;562,809;294,230;268,579;186,397;99,598;86,799;376,412;194,632;181,780
Muş;376,543;192,327;184,216;101,154;53,510;47,644;275,389;138,817;136,572
Nevşehir;289,509;143,812;145,697;112,955;58,720;54,235;176,554;85,092;91,462
Niğde;305,861;148,163;157,698;97,286;49,040;48,246;208,575;99,123;109,452
Ordu;830,105;408,709;421,396;336,820;174,303;162,517;493,285;234,406;258,879
Rize;348,776;166,481;182,295;133,370;67,638;65,732;215,406;98,843;116,563
Sakarya;683,061;345,201;337,860;297,759;151,949;145,810;385,302;193,252;192,050
Samsun;1,158,400;562,066;596,334;525,305;261,242;264,063;633,095;300,824;332,271
Siirt;243,435;124,605;118,830;110,139;57,982;52,157;133,296;66,623;66,673
Sinop;265,153;126,205;138,948;86,314;43,619;42,695;178,839;82,586;96,253
Sivas;767,481;383,155;384,326;381,947;201,214;180,733;385,534;181,941;203,593
Tekirdağ;468,842;250,743;218,099;258,940;141,092;117,848;209,902;109,651;100,251
Tokat;719,251;354,316;364,935;308,304;155,867;152,437;410,947;198,449;212,498
Trabzon;795,849;386,642;409,207;303,612;157,714;145,898;492,237;228,928;263,309
Tunceli;133,143;67,462;65,681;50,799;27,871;22,928;82,344;39,591;42,753
Şanlıurfa;1,001,455;515,980;485,475;551,124;289,900;261,224;450,331;226,080;224,251
Uşak;290,283;144,224;146,059;146,809;75,112;71,697;143,474;69,112;74,362
Van;637,433;324,624;312,809;258,967;138,166;120,801;378,466;186,458;192,008
Yozgat;579,150;282,399;296,751;208,183;105,648;102,535;370,967;176,751;194,216
Zonguldak;1,073,560;526,041;547,519;411,617;211,691;199,926;661,943;314,350;347,593
Aksaray;326,399;156,546;169,853;144,217;70,615;73,602;182,182;85,931;96,251
Bayburt;107,330;52,607;54,723;41,295;22,204;19,091;66,035;30,403;35,632
Karaman;217,536;106,762;110,774;106,051;52,910;53,141;111,485;53,852;57,633
Kırıkkale;349,396;177,789;171,607;243,378;125,193;118,185;106,018;52,596;53,422
Batman;344,669;176,547;168,122;193,621;101,000;92,621;151,048;75,547;75,501
Şırnak;262,006;139,534;122,472;125,264;67,466;57,798;136,742;72,068;64,674
;;;;;;;;;
;;;;;;;;;
Şehir : İl ve ilçe merkezleri sınırları içindeki nüfustur.;;;;;;;;;
Köy : İl ve ilçe merkezleri dışında kalan yerleşim yerlerindeki (Belde belediyeleri dahil) nüfustur.;;;;;;;;;
