TÜRKİYE İSTATİSTİK KURUMU;;;;;;;;;
;;;;;;;;;
2000 GENEL NÜFUS SAYIMI VERİ TABANI;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
İllere göre şehir ve köy nüfusları;;;;;;;;;
İller;Toplam;;;Şehir;;;Köy ;;
;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın;Toplam;Erkek;Kadın
;;;;;;;;;
Türkiye;67,803,927;34,346,735;33,457,192;44,006,184;22,427,541;21,578,643;23,797,743;11,919,194;11,878,549
Adana;1,849,478;920,001;929,477;1,397,853;693,586;704,267;451,625;226,415;225,210
Adıyaman;623,811;313,362;310,449;338,939;173,772;165,167;284,872;139,590;145,282
Afyon;812,416;409,311;403,105;371,868;189,637;182,231;440,548;219,674;220,874
Ağrı;528,744;273,895;254,849;252,309;138,049;114,260;276,435;135,846;140,589
Amasya;365,231;185,594;179,637;196,621;102,248;94,373;168,610;83,346;85,264
Ankara;4,007,860;2,027,105;1,980,755;3,540,522;1,785,489;1,755,033;467,338;241,616;225,722
Antalya;1,719,751;885,826;833,925;936,240;477,567;458,673;783,511;408,259;375,252
Artvin;191,934;96,599;95,335;84,198;44,471;39,727;107,736;52,128;55,608
Aydın;950,757;475,817;474,940;493,114;247,560;245,554;457,643;228,257;229,386
Balıkesir;1,076,347;542,681;533,666;577,595;293,161;284,434;498,752;249,520;249,232
Bilecik;194,326;101,919;92,407;124,380;67,104;57,276;69,946;34,815;35,131
Bingöl;253,739;131,440;122,299;123,470;66,573;56,897;130,269;64,867;65,402
Bitlis;388,678;205,820;182,858;219,511;119,958;99,553;169,167;85,862;83,305
Bolu;270,654;137,153;133,501;142,685;76,166;66,519;127,969;60,987;66,982
Burdur;256,803;129,007;127,796;139,897;72,026;67,871;116,906;56,981;59,925
Bursa;2,125,140;1,064,560;1,060,580;1,630,940;816,582;814,358;494,200;247,978;246,222
Çanakkale;464,975;242,539;222,436;215,571;113,805;101,766;249,404;128,734;120,670
Çankırı;270,355;140,353;130,002;141,186;76,063;65,123;129,169;64,290;64,879
Çorum;597,065;289,717;307,348;311,897;154,460;157,437;285,168;135,257;149,911
Denizli;850,029;426,179;423,850;413,914;208,675;205,239;436,115;217,504;218,611
Diyarbakır;1,362,708;692,167;670,541;817,692;420,712;396,980;545,016;271,455;273,561
Edirne;402,606;213,724;188,882;230,908;123,060;107,848;171,698;90,664;81,034
Elazığ;569,616;287,687;281,929;364,274;186,454;177,820;205,342;101,233;104,109
Erzincan;316,841;169,046;147,795;172,206;96,887;75,319;144,635;72,159;72,476
Erzurum;937,389;482,199;455,190;560,551;298,759;261,792;376,838;183,440;193,398
Eskişehir;706,009;352,264;353,745;557,028;277,358;279,670;148,981;74,906;74,075
Gaziantep;1,285,249;645,847;639,402;1,009,126;510,366;498,760;276,123;135,481;140,642
Giresun;523,819;263,343;260,476;283,316;146,395;136,921;240,503;116,948;123,555
